"source","source_id","annotator","annotation_id","annotation_date","annotation_info_url","recording_url","recording_info_url","time_start","time_end","taxon","type","lat","lon","contact"
"bio.acousti.ca","11062","Edward Baker","23","2014-12-08 14:40","view","http://bio.acousti.ca/sites/default/files/896_9_Conocephalus_discolor_61r4.wav","http://bio.acousti.ca/node/11062","0","16","Conocephalus discolor","Voice Introduction","","","23"
"bio.acousti.ca","10309","Edward Baker","26","2014-12-08 15:00","view","http://bio.acousti.ca/sites/default/files/578_11_Conocephalus_discolor_788a_8-Nov.wav","http://bio.acousti.ca/node/10309","0","45","Conocephalus discolor","Voice Introduction","","","26"
"bio.acousti.ca","10309","Edward Baker","27","2014-12-08 15:01","view","http://bio.acousti.ca/sites/default/files/578_11_Conocephalus_discolor_788a_8-Nov.wav","http://bio.acousti.ca/node/10309","46","167","Conocephalus discolor","Call","","","27"
"bio.acousti.ca","11086","Edward Baker","50","2014-12-09 12:16","view","http://bio.acousti.ca/sites/default/files/899_3_Gryllotalpa_orientalis_111.wav","http://bio.acousti.ca/node/11086","0","38","Gryllotalpa orientalis","Voice Introduction","","","50"
"bio.acousti.ca","11086","Edward Baker","51","2014-12-09 12:18","view","http://bio.acousti.ca/sites/default/files/899_3_Gryllotalpa_orientalis_111.wav","http://bio.acousti.ca/node/11086","47","50","Gryllotalpa orientalis","Call","","","51"
"bio.acousti.ca","11114","Edward Baker","52","2014-12-09 12:22","view","http://bio.acousti.ca/sites/default/files/900_6_Gryllotalpa_orientalis_125.wav","http://bio.acousti.ca/node/11114","0","39","Gryllotalpa orientalis","Voice Introduction","","","52"
"bio.acousti.ca","11114","Edward Baker","53","2014-12-09 12:23","view","http://bio.acousti.ca/sites/default/files/900_6_Gryllotalpa_orientalis_125.wav","http://bio.acousti.ca/node/11114","41","71","Gryllotalpa orientalis","Call","","","53"
"bio.acousti.ca","11113","Edward Baker","54","2014-12-09 12:25","view","http://bio.acousti.ca/sites/default/files/900_5_Gryllotalpa_orientalis_125.wav","http://bio.acousti.ca/node/11113","0","40","Gryllotalpa orientalis","Voice Introduction","","","54"
"bio.acousti.ca","11113","Edward Baker","55","2014-12-09 12:26","view","http://bio.acousti.ca/sites/default/files/900_5_Gryllotalpa_orientalis_125.wav","http://bio.acousti.ca/node/11113","41","71","Gryllotalpa orientalis","Call","","","55"
"bio.acousti.ca","11108","Edward Baker","56","2014-12-09 13:05","view","http://bio.acousti.ca/sites/default/files/899_25_Gryllotalpa_orientalis_113.wav","http://bio.acousti.ca/node/11108","0","35","Gryllotalpa orientalis","Voice Introduction","","","56"
"bio.acousti.ca","11108","Edward Baker","57","2014-12-09 13:06","view","http://bio.acousti.ca/sites/default/files/899_25_Gryllotalpa_orientalis_113.wav","http://bio.acousti.ca/node/11108","42","72","Gryllotalpa orientalis","Call","","","57"
"bio.acousti.ca","11085","Edward Baker","58","2014-12-09 13:07","view","http://bio.acousti.ca/sites/default/files/899_2_Gryllotalpa_orientalis_110.wav","http://bio.acousti.ca/node/11085","0","32","Gryllotalpa orientalis","Voice Introduction","","","58"
"bio.acousti.ca","10753","Edward Baker","61","2014-12-09 13:10","view","http://bio.acousti.ca/sites/default/files/585_1_Gryllotalpa_vineae_820a.wav","http://bio.acousti.ca/node/10753","0","44","Gryllotalpa vineae","Voice Introduction","","","61"
"bio.acousti.ca","10753","Edward Baker","62","2017-03-12 12:37","view","http://bio.acousti.ca/sites/default/files/585_1_Gryllotalpa_vineae_820a.wav","http://bio.acousti.ca/node/10753","44","53","Gryllotalpa vineae","Call","","","62"
