"id","topic","value","info_url"
"12289","behaviour","<p>Males were reported to call 0.3-4.0m up, in shrubs along the banks of small hill-streams. At Mulu, males were heard calling in the interioir of dense river-bank vegetation, close to a pool at the edge of a dried river bank, moving progressively closer over the course of an hour.Calls are a series of five or six soft &#39;pink&#39; or &#39;quink&#39; notes, evidently well tuned and frequency-modulated. </p>","https://bio.acousti.ca/node/12289"
"12292","behaviour","<p>Males of <em>Philautus ingeri</em> called at night, one to five metres above ground, and within 10-20m. of teh stream bed. Calls are a series of about five soft &#39;quoink&#39; notes, similar to those of <em>hosei</em>. </p>","https://bio.acousti.ca/node/12292"
"12294","behaviour","<p>Males called at night, 0.7-4.0m. up in the shrub layer, widely dispersed over hillsides, and sometimes in single species choruses with inter-individual distances of ten meters or more.... I heard the shrill calls of <em>acutus</em> in tall montane forest in a ravine at the pinnacles site on Gunung Api, 1200m. I could not reach the chorus and confirm the identification. </p>
<p>Philautus acutus, BM 1978.277 and 1978.1765, latter recorded at 17.0&deg;C air temperature. Intervals between call series are 25-52 sec. Call series are of 5-11 calls in 6.0-9.0 sec., usually nine calls in 7.50-8.75 sec. (mean 7.90 sec.). Intervals between calls are 0.68-0.85 sec. (mean 0.82 sec.). The call consists of a series of 8-9 pulses (duration 0.10 sec.) followed by an unpulsed section (duration 0.05 sec.). Amplitude modulation is distinct. Frequency modulation is moderate; the dominant (fundamental) frequency of the poorly-tuned call is spread over the range 2.6-3.6 khz., rising from 2.6-3.2 to 3.4-3.6 khz. during the call. There is a strong first harmonic, rising from 6.0 to 6.8 khz., and a trace of a second harmonic. </p>","https://bio.acousti.ca/node/12294"
"12295","behaviour","<p>Philautus kerangae, BM 1978.1771, recorded at 24.5&deg;C air temperature. An interval between call series is 24 sec. One complete call series is of 80 calls in 29 sec. Intervals between calls are 0.12-0.14 sec. The call consists of a series of 8-9 pulses (duration 0.06-0.065 sec.) followed by an unpulsed section (duration 0.02-0.025 sec.). Amplitude modulation is distinct. Frequency modulation is weak or absent; the dominant (fundamental) frequency of the poorly-tuned call is spread over the range 1.6-3.0 khz., most strongly at 2.2-2.5 khz.. 16 khz. sonograms show that there are at least six harmonics of the narrower fundamental. </p>
<p>At Mulu, males called at night, often high in trees but sometimes only one or two metres up, by plants of Nepenthes bicalcarata, a robust large-pitchered species which reaches heights of five or six metres when supported by other vegetation. Calls are rapid long series of harsh notes (described above). Eggs are laid in water in slightly senescent bicalcarata pitchers, and are well adapted for development in the light. I collected a clutch and a calling male within hours at a felled pitcher-plant, and suspect that males associate with their developing clutches by day. </p>","https://bio.acousti.ca/node/12295"
"12296","behaviour","<p>Philautus aermiculatus, BM 1974.4805, temperature unknown, recorded at 1280 m., Gunung Lawit, Malaya. An apparently complete call series includes 14 calls in 4.75 sec. Intervals between calls are 0.15-0.21 sec. The call consists of an indistinctly pulsed section (duration 0.03 sec.), a series of seven pulses (duration 0.04-0.05 sec.), and an unpulsed section (duration 0.01-0.015 sec.). Amplitude modulation is distinct. Fre- quency modulation is weak or absent: the dominant (fundamental) frequency is 1.8-2.6 khz., and there are harmonics at least at 3.6-4.2 and 5.4-5.8 khz. </p>","https://bio.acousti.ca/node/12296"
"12297","behaviour","<p>The three calls are basically similar. Distinctive features of the acutus vocalisation are the slow call series, rather high fundamental, and distinct frequency modulation; the call can be described as a series of shrill `gree&#39; notes (acutus means shrill of voice). Calls of kerangae are harsh &#39;krrek&#39; notes in distinctively rapid long series. Calls of ver- miculatus are in shorter series, but are structurally much like those of kerangae, and can be described as &#39;krrak&#39; or &#39;quack&#39; notes. </p>","https://bio.acousti.ca/node/12297"
"12298","behaviour","<p>I did not identify the call of this species, but did hear soft gwe&#39; and brief &#39;tchchek&#39; calls while collecting (tectus means secret, obscure, cautious). </p>","https://bio.acousti.ca/node/12298"
"12304","behaviour","<p>Three distinctive call types were heard in differnet areas; type one calls, each a brief &#39;gek&#39;, from the base of the oak-laurel forest at 1100-1200 m to a ridgetop site near <a href=""http://bio.acousti.ca/content/asia-malaysia-sarawak-mulu-national-park-rgs-camp-iv"">camp four</a> at c. 1700; type two calls, each a longer &#39;gegger&#39;, around <a href=""http://bio.acousti.ca/content/asia-malaysia-sarawak-mulu-national-park-rgs-camp-iv"">camp four</a> at 1800-1930 m; and type three calls (not recorded)., each abrief &#39;gan&#39;, at a dense chorus on the summit knoll at c. 2200 m. Type one and two calls are described below. They differ in dominant frequency, duration, pulse rate and number of pulses. Some of the differences may be temperature effects (decrease in temperature usually decreases frequency and pulse rate, increases duration), some may also be due to differences in body size (small frogs usually have high calls), but it also seems likely that a degree of genetic divergence has taken place between local populations (see variation).</p>
<p>Type One Call: BM 1978.1618, air temperature 20<sup>o</sup>C. The call is a single note 0.08 sec in duration, compsoed of about ten pulses, at a rate of c. 130 pulses per second. Dominant frequency is 2.8-3.4khz, there is less intense sound energy flanking the dominant at 4.4-4.1khz. A weak fundamental frequency ranges from 80-1200 hz. A distinct harmonic is at 6.0-6.6 khz, dropping to 5.8-6.4 khz. Weak frequency modulation is evident in the harmonic and may be presumed present in the dominant (fig. 2 d, e).</p>
<p>Type two call,<a href=""http://bio.acousti.ca/content/bioacoustica-dring-1""> specimen escaped</a> (BM 1978.97, a&nbsp; female, collected at site), estimated air temperature 17-18<sup>o</sup>C. The call is a single note 0.58 sec in duration, composed of 51 pulses, at a rate of 93 pulses per second. Dominant frequency is 1.8-2.8 khz, flanked by less intense energy bands as 1.3-1.7khz and 3.0-3.4khz. A weak fundamental is present at 80-600 hz. A distinct harmonic is at 4.3-5.0 khz and another at 6.6-7.0 khz. Weak frequency modulation is ebident in the harmonic.&nbsp; </p>","https://bio.acousti.ca/node/12304"
"12317","behaviour","<p>BM 1978.1553 was recorded in the field at 15.5<sup>o</sup>C air temperature. Calls are metallic ticking notes in &#39;continuous&#39; or very long series (fig. 2a). When calling strongly, elements are repeated witha period of 0.13-0.18 sec (mean 0.15). Each call is composed of a strong, poorly tined notes, 0.03 sec in duration, followed by two or three very weak notes (which may be passively produced by vibration in the larynx), to form series 0.06-0.09sec in duration. Dominant frequency is at 5-6khz, with energy of the poorly tuned notes spread over the range 4.2-7.0khx. Frequency modulation and, with the exception of the &#39;passive&#39; notes, amplitude modulation are absent. </p>","https://bio.acousti.ca/node/12317"
"12365","behaviour","<p>The calls recorded at Khao Chong on 17 January 1997, at air temperatures of 23.0-24.4<sup>o</sup>C, consisted of one to seven (usually one) notes and lasted up to 2087 msec (Fig 6.). A note was composed of many unclear pulses and lasted from 109-230 msec. In a call with two or more notes, each note was emitted successively, with the note gap ranging from 279-477 msec and the note repition rate 2.87-3.92 pwer sec. The dominant frequency wa sin the 750-1600 hz range, and was more exactly about 950 and 1500 hz. There were weak harmonics at about 3000-4200 and 5800-7200 hz ranges. Slight frequency modulation and strong intensity modulation were present.&nbsp; </p>","https://bio.acousti.ca/node/12365"
