"type","id","name","delta","value","unit"
"recordings","8961","air_movement","0","Nil",""
"recordings","8961","cd_id","0","372",""
"recordings","8961","cd_track","0","1",""
"recordings","8961","gain_control_position","0","100",""
"recordings","8961","light","0","75 W bench lamp + fluorescent room lights",""
"recordings","8961","microphone_distance","0","7","<raw>"
"recordings","8961","microphone_power_supply","0","Sennheiser MKH 405",""
"recordings","8961","nhm_tape_number","0","300",""
"recordings","8961","original_metadata_image","0","https://bio.acousti.ca/sites/default/files/20140930142954.jpg",""
"recordings","8961","original_trace_image","0","https://bio.acousti.ca/sites/default/files/20140930143022.jpg",""
"recordings","8961","original_trace_image","1","https://bio.acousti.ca/sites/default/files/20140930143045.jpg",""
"recordings","8961","original_trace_image","2","https://bio.acousti.ca/sites/default/files/20140930143112.jpg",""
"recordings","8961","original_trace_image","3","https://bio.acousti.ca/sites/default/files/20140930143134.jpg",""
"recordings","8961","peak_meter_reading","0","-25",""
"recordings","8961","power_supply","0","QED750/ATN2",""
"recordings","8961","project","0","Natural History Museum Sound Archive",""
"recordings","8961","reference_signal","0","1 kHz for 10 s",""
"recordings","8961","substrate_cage","0","small recording cage",""
"recordings","8961","tape","0","BASF SP52",""
"recordings","8961","tape_speed","0","38","<raw>"
"recordings","8961","temperature_end","0","28","<raw>"
"recordings","8961","temperature_start","0","28","<raw>"
"recordings","8961","track","0","Full",""
"recordings","8961","verbatim_species","0","Conocephalus Redenbacher",""
"recordings","8962","air_movement","0","Nil",""
"recordings","8962","biotic_factors","0","Thermometer in light from bench lamp. Left hind leg was shed about 5 hours before start of recording",""
"recordings","8962","cd_id","0","372",""
"recordings","8962","cd_track","0","2",""
"recordings","8962","gain_control_position","0","81.5",""
"recordings","8962","light","0","75W bench lamp",""
"recordings","8962","microphone_distance","0","9","<raw>"
"recordings","8962","microphone_power_supply","0","Sennheiser MKH 405",""
"recordings","8962","nhm_tape_number","0","305",""
"recordings","8962","original_metadata_image","0","https://bio.acousti.ca/sites/default/files/20160915151622.jpg",""
"recordings","8962","original_trace_image","0","https://bio.acousti.ca/sites/default/files/20160915151658.jpg",""
"recordings","8962","original_trace_image","1","https://bio.acousti.ca/sites/default/files/20160915151727.jpg",""
"recordings","8962","original_trace_image","2","https://bio.acousti.ca/sites/default/files/20160915151750.jpg",""
"recordings","8962","original_trace_image","3","https://bio.acousti.ca/sites/default/files/20160915151810_0.jpg",""
"recordings","8962","original_trace_image","4","https://bio.acousti.ca/sites/default/files/20160915151831.jpg",""
"recordings","8962","original_trace_image","5","https://bio.acousti.ca/sites/default/files/20160915151850.jpg",""
"recordings","8962","peak_meter_reading","0","-20",""
"recordings","8962","power_supply","0","QED750/ ATN2",""
"recordings","8962","project","0","Natural History Museum Sound Archive",""
"recordings","8962","reference_signal","0","1 kHz for 10 s",""
"recordings","8962","substrate_cage","0","Small recording cage",""
"recordings","8962","tape","0","BASFSP52",""
"recordings","8962","tape_speed","0","38","<raw>"
"recordings","8962","temperature_end","0","34","<raw>"
"recordings","8962","temperature_start","0","27","<raw>"
"recordings","8962","track","0","Full",""
"recordings","8962","verbatim_species","0","Chorthippus brunneus",""
"recordings","8963","air_movement","0","Nil",""
"recordings","8963","cd_id","0","372",""
"recordings","8963","cd_track","0","3",""
"recordings","8963","gain_control_position","0","105 - 110",""
"recordings","8963","light","0","75 W bench lamp + fluorescent room lights",""
"recordings","8963","microphone_distance","0","4","<raw>"
"recordings","8963","microphone_power_supply","0","Sennheiser MKH 405",""
"recordings","8963","nhm_tape_number","0","298",""
"recordings","8963","original_metadata_image","0","https://bio.acousti.ca/sites/default/files/20141007123217.jpg",""
"recordings","8963","peak_meter_reading","0","-15 to -20",""
"recordings","8963","power_supply","0","QED750 / ATN2",""
"recordings","8963","project","0","Natural History Museum Sound Archive",""
"recordings","8963","reference_signal","0","1 kHz for 10 s",""
"recordings","8963","substrate_cage","0","small recording cage",""
"recordings","8963","tape","0","BASF SP52",""
"recordings","8963","tape_speed","0","38","<raw>"
"recordings","8963","temperature_end","0","28","<raw>"
"recordings","8963","temperature_start","0","23","<raw>"
"recordings","8963","track","0","Full",""
"recordings","8963","verbatim_species","0","Conocephalus semivittatus vittatus",""
"recordings","8964","air_movement","0","Nil",""
"recordings","8964","cd_id","0","372",""
"recordings","8964","cd_track","0","4",""
"recordings","8964","gain_control_position","0","110 - 106",""
"recordings","8964","light","0","75 W bench lamp + fluorescent room lights",""
"recordings","8964","microphone_distance","0","4","<raw>"
"recordings","8964","microphone_power_supply","0","Sennheiser MKH 405",""
"recordings","8964","nhm_tape_number","0","298b",""
"recordings","8964","original_metadata_image","0","https://bio.acousti.ca/sites/default/files/20141007123217_0.jpg",""
"recordings","8964","peak_meter_reading","0","-25 to -20",""
"recordings","8964","power_supply","0","QED750 / ATN2",""
"recordings","8964","project","0","Natural History Museum Sound Archive",""
"recordings","8964","reference_signal","0","1 kHz for 10 s",""
"recordings","8964","substrate_cage","0","small recording cage",""
"recordings","8964","tape","0","BASF SP52",""
"recordings","8964","tape_speed","0","19","<raw>"
"recordings","8964","temperature_end","0","28","<raw>"
"recordings","8964","temperature_start","0","23","<raw>"
"recordings","8964","track","0","Full",""
"recordings","8964","verbatim_species","0","Conocephalus semivittatus vittatus",""
"recordings","8965","air_movement","0","Nil",""
"recordings","8965","cd_id","0","372",""
