"id","title","file","subtype","creator","license","post_date","type","size_raw","width","height","caption"
"134","399-3_Conocephalus_discolor_409_meta.jpg","https://bio.acousti.ca/sites/default/files/399-3_Conocephalus_discolor_409_meta.jpg","Scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","910718","1412","1183",""
"135","399-3_Conocephalus_discolor_409_trace1.jpg","https://bio.acousti.ca/sites/default/files/399-3_Conocephalus_discolor_409_trace1.jpg","Scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","245812","1352","708",""
"136","399-3_Conocephalus_discolor_409_trace2.jpg","https://bio.acousti.ca/sites/default/files/399-3_Conocephalus_discolor_409_trace2.jpg","Scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","245812","1352","708",""
"137","399-3_Conocephalus_discolor_409_trace3.jpg","https://bio.acousti.ca/sites/default/files/399-3_Conocephalus_discolor_409_trace3.jpg","Scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","245812","1352","708",""
"2384","Conocephalus discolor 788.jpg","https://bio.acousti.ca/sites/default/files/Conocephalus%20discolor%20788.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","524647","1745","1235",""
"2385","Conocephalus discolor 587.jpg","https://bio.acousti.ca/sites/default/files/Conocephalus%20discolor%20587.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","276337","1412","1177",""
"2386","Conocephalus discolor 416.jpg","https://bio.acousti.ca/sites/default/files/Conocephalus%20discolor%20416.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","508245","1410","1172",""
"2387","Conocephalus discolor 411.jpg","https://bio.acousti.ca/sites/default/files/Conocephalus%20discolor%20411.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","507929","1412","1177",""
"5134","20140729105919.jpg","https://bio.acousti.ca/sites/default/files/20140729105919.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","1136947","7016","4961",""
"5135","20140729110002.jpg","https://bio.acousti.ca/sites/default/files/20140729110002.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","6448967","9921","7016",""
"5136","20140729110051.jpg","https://bio.acousti.ca/sites/default/files/20140729110051.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","6497929","9921","7016",""
"5137","20140729110124.jpg","https://bio.acousti.ca/sites/default/files/20140729110124.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","6335215","9921","7016",""
"5138","20140729113026.jpg","https://bio.acousti.ca/sites/default/files/20140729113026.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","1123040","7016","4961",""
"5139","20140729113116.jpg","https://bio.acousti.ca/sites/default/files/20140729113116.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","6383277","9921","7016",""
"5140","20140729113157.jpg","https://bio.acousti.ca/sites/default/files/20140729113157.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","6385068","9921","7016",""
"5141","20140729113339.jpg","https://bio.acousti.ca/sites/default/files/20140729113339.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","6350929","9921","7016",""
"5142","20140729102339.jpg","https://bio.acousti.ca/sites/default/files/20140729102339_0.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","980066","6072","4299",""
"5143","20140729102430.jpg","https://bio.acousti.ca/sites/default/files/20140729102430_0.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","6594321","9921","7016",""
"5144","20140729102508.jpg","https://bio.acousti.ca/sites/default/files/20140729102508_0.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","6451100","9921","7016",""
"5145","20140729102534.jpg","https://bio.acousti.ca/sites/default/files/20140729102534_0.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","6480214","9921","7016",""
"5591","20140812144852.jpg","https://bio.acousti.ca/sites/default/files/20140812144852.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","1042675","6072","4299",""
"5592","20140812144931.jpg","https://bio.acousti.ca/sites/default/files/20140812144931.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","3784746","9921","7016",""
"5593","20140812145001.jpg","https://bio.acousti.ca/sites/default/files/20140812145001.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","3823208","9921","7016",""
"5594","20140812145031.jpg","https://bio.acousti.ca/sites/default/files/20140812145031.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","4062881","9921","7016",""
"5595","20140812144852.jpg","https://bio.acousti.ca/sites/default/files/20140812144852_0.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","1042675","6072","4299",""
"5596","20140812144931.jpg","https://bio.acousti.ca/sites/default/files/20140812144931_0.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","3784746","9921","7016",""
"5597","20140812145001.jpg","https://bio.acousti.ca/sites/default/files/20140812145001_0.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","3823208","9921","7016",""
"5598","20140812145031.jpg","https://bio.acousti.ca/sites/default/files/20140812145031_0.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","4062881","9921","7016",""
"5727","20140819110852.jpg","https://bio.acousti.ca/sites/default/files/20140819110852.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","1205290","7016","4961",""
"5728","20140819110919.jpg","https://bio.acousti.ca/sites/default/files/20140819110919.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","5898963","9921","7016",""
"5729","20140819110944.jpg","https://bio.acousti.ca/sites/default/files/20140819110944.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","6015964","9921","7016",""
"5730","20140819111009.jpg","https://bio.acousti.ca/sites/default/files/20140819111009.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","6194843","9921","7016",""
"5731","20140819115449.jpg","https://bio.acousti.ca/sites/default/files/20140819115449.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","1246389","7016","4961",""
"5740","20140819144847.jpg","https://bio.acousti.ca/sites/default/files/20140819144847.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","999071","6072","4299",""
"5750","20140819151104.jpg","https://bio.acousti.ca/sites/default/files/20140819151104.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","1011896","6072","4299",""
"5751","20140819153109.jpg","https://bio.acousti.ca/sites/default/files/20140819153109.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","1032583","6072","4299",""
"5752","20140819153149.jpg","https://bio.acousti.ca/sites/default/files/20140819153149.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","3059005","9921","7016",""
"5753","20140819153221.jpg","https://bio.acousti.ca/sites/default/files/20140819153221.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","3205299","9921","7016",""
"5754","20140819153251.jpg","https://bio.acousti.ca/sites/default/files/20140819153251.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","3556646","9921","7016",""
"5755","20140819154930.jpg","https://bio.acousti.ca/sites/default/files/20140819154930.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","1013625","6072","4299",""
"5756","20140819160036.jpg","https://bio.acousti.ca/sites/default/files/20140819160036.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","986421","6072","4299",""
"5757","20140819160109.jpg","https://bio.acousti.ca/sites/default/files/20140819160109.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","3089144","9921","7016",""
"5758","20140819160140.jpg","https://bio.acousti.ca/sites/default/files/20140819160140.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","3298186","9921","7016",""
"5759","20140819160210.jpg","https://bio.acousti.ca/sites/default/files/20140819160210.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","3504955","9921","7016",""
"5760","20140819161704.jpg","https://bio.acousti.ca/sites/default/files/20140819161704.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","989333","6072","4299",""
"5761","20140819161704.jpg","https://bio.acousti.ca/sites/default/files/20140819161704_0.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","989333","6072","4299",""
"5762","20140819161704.jpg","https://bio.acousti.ca/sites/default/files/20140819161704_1.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","989333","6072","4299",""
"5927","20140826101708.jpg","https://bio.acousti.ca/sites/default/files/20140826101708.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","997866","6072","4299",""
"5928","20140826101846.jpg","https://bio.acousti.ca/sites/default/files/20140826101846.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","4585446","9921","7016",""
"5929","20140826101812.jpg","https://bio.acousti.ca/sites/default/files/20140826101812.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","4752645","9921","7016",""
"5930","20140826101746.jpg","https://bio.acousti.ca/sites/default/files/20140826101746.jpg","Original trace scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","4903389","9921","7016",""
"5931","20140826101708.jpg","https://bio.acousti.ca/sites/default/files/20140826101708_0.jpg","Original metadata scan","","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","997866","6072","4299",""
