"subject_type","subject_source","subject_id","predicate","object_type","object_source","object_id","qualifier","remarks"
"recordings","","8961","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","335","",""
"recordings","","8961","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15385","",""
"recordings","","8962","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","77","",""
"recordings","","8962","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17073","",""
"recordings","","8962","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8963","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","74","",""
"recordings","","8963","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15391","",""
"recordings","","8963","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8964","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","74","",""
"recordings","","8964","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15391","",""
"recordings","","8964","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8965","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","74","",""
"recordings","","8965","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15391","",""
"recordings","","8965","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8966","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","74","",""
"recordings","","8966","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15391","",""
"recordings","","8966","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8967","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","74","",""
"recordings","","8967","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15390","",""
"recordings","","8967","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8968","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","335","",""
"recordings","","8968","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15384","",""
"recordings","","8969","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","60","",""
"recordings","","8969","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17079","",""
"recordings","","8969","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8970","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","74","",""
"recordings","","8970","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15390","",""
"recordings","","8970","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8971","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","74","",""
"recordings","","8971","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15390","",""
"recordings","","8971","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8972","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","175","",""
"recordings","","8972","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15610","",""
"recordings","","8972","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8973","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","175","",""
"recordings","","8973","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15610","",""
"recordings","","8973","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8974","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","175","",""
