"id","name","continent","countryCode","stateProvince","county","island","islandGroup","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","geodeticDatum","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","info_url"
"11150","Chapman's Pool, Dorset","Europe","GB","England","Dorset","","British Isles","","50.6016535929146","-1.95290565490723","","","","","","https://bio.acousti.ca/node/11150"
"11155","Corsica: Corse-du-Sud; 20km N of Ajaccio; 1km N of Sagone","Europe","FR","","","Corsica","","","42.1281478054561","8.70855331420898","1000","","","20","20","https://bio.acousti.ca/node/11155"
"11156","Europe: Spain: Zamora, 88kn W of Benavente, W of Portilla de Padornelo","Europe","ES","Zamora","","","","","42.0365443200271","-6.85529708862305","500","","","1350","1350","https://bio.acousti.ca/node/11156"
"11157","Europe: France: Morbihan; Base of Quiberon Peninsular, W of N168","Europe","FR","Morbihan","","","","","47.4759407019598","-3.13273429870605","1000","","","","","https://bio.acousti.ca/node/11157"
"11163","Furzebrook Research Station","Europe","GB","England","Dorset","","British Isles","","","","","","","","","https://bio.acousti.ca/node/11163"
"11164","BMNH Acoustic Laboratory","Europe","GB","England","London","","British Isles","","","","","","","","","https://bio.acousti.ca/node/11164"
"11168","Canada; Alberta; Banff.","","","","","","","","51.1999998341207","-115.51025390625","","","","","","https://bio.acousti.ca/node/11168"
"11170","Kananaskis Field Laboratory, University of Calgary, Kananaskis Vallety, Alberta","","","","","","","","","","","","","","","https://bio.acousti.ca/node/11170"
"11216","Greece: Arcadia, Sitaina","Europe","GR","Arcadia","Sitaina","","","Badly cultivated terraces with shrubby margins and some trees","37.291258","22.651126","","","","800","800","https://bio.acousti.ca/node/11216"
"11218","Greece: Achaea, 3km W of Kalavrita","Europe","GR","Achaea","Kalavrita","","","Lush meadows with cattle","38.029937","22.070155","","","","700","700","https://bio.acousti.ca/node/11218"
"11220","Europe: France: Border between Savoie and Hautes-Alpes, c. 25km NW of Briancon","","","","","","","Scanty herbs","45.107806","6.234801","","","","","","https://bio.acousti.ca/node/11220"
"11222","Europe: Spain: Huesca, Torla, by C138","Europe","ES","Huesca","Torla","","","Rough roadside vegetation","42.627489","-0.110414","","","","","","https://bio.acousti.ca/node/11222"
"11224","Europe: Spain: Barcelona, Sierra del Cadi, 8km WSW of La Molina, Coll. de Pal, 2100m","","","","","","","Alpine meadow","42.328066","1.841307","","","","2100","2100","https://bio.acousti.ca/node/11224"
"11226","Europe: France: Alpes-Maritimes near Col de Vence, 940m","Europe","FR","","Col de Vence","","","Open woodland","43.760479","7.075635","","","","940","940","https://bio.acousti.ca/node/11226"
"11230","Europe: Spain: Madrid, Porto de la Morcuera, 1796m","Europe","ES","Madrid","Porto de la Morcuera","","","","40.818713","-3.822639","","","","1796","1796","https://bio.acousti.ca/node/11230"
"11231","Europe: Spain: Avila, Sierra de Gredos, AV931 to Pico Almanzor, 1600m","Europe","ES","Avila","Sierra de Gredos","","","On broom","40.307606","-5.190633","","","","1600","1600","https://bio.acousti.ca/node/11231"
"11233","Ghana: Eastern Region, Tafo.","","","","","","","","6.739066","-1.611621","","","","","","https://bio.acousti.ca/node/11233"
"11235","Europe: Spain: Granada, Sierra Nevada, El Chorrillo, 2700m","Europe","ES","Sierra Nevada","","Granada","","Stony hillside with low shrubs","28.412898","-16.330888","","","","2700","2700","https://bio.acousti.ca/node/11235"
"11237","Europe: Spain: Granada, Sierra Nevada, Veleta, 2500m.","Europe","ES","Sierra Nevada","Veleta","Granada","","","37.055875","-3.365098","","","","2500","2500","https://bio.acousti.ca/node/11237"
"11239","Europe: Spain: Granada, Sierra Nevada, 1km NW of Pico del Veleta, 2900m.","Europe","ES","Sierra Nevada","Pico del Veleta","Granada","","","37.066491","-3.380891","","","","2900","2900","https://bio.acousti.ca/node/11239"
"11241","Nottingham University","","","","","","","","52.9385004346143","-1.19888305664062","","","","","","https://bio.acousti.ca/node/11241"
"11242","USA: Colorado, Cowdrey, Big Creek Lakes.","Northern America","US","Colrado","","","","","40.942722","-106.61109","","","","","","https://bio.acousti.ca/node/11242"
"11244","Canada: Toronto","Northern America","CA","","Toronto","","","","43.6917079030738","-79.4146728515625","","","","","","https://bio.acousti.ca/node/11244"
"11245","Canada: British Colombia, near Rutland, Okanagan Valley","Northern America","CA","British Colombia","","","","","49.853293","-119.272083","","","","","","https://bio.acousti.ca/node/11245"
"11247","Yugoslavia: Montenegro, c. 5km NW of Cetinje.","Europe","ME","","Cetinje","","","","42.431017","18.845952","","","","","","https://bio.acousti.ca/node/11247"
"11249","Biology Department, Open University","","","","","","","","","","","","","","","https://bio.acousti.ca/node/11249"
"11250","Uganda: Ankole, Kasyoha-kitani Forest","Africa","UG","Ankole","","","","","-0.250515","30.252747","","","","","","https://bio.acousti.ca/node/11250"
"11252","Uganda: South end of Queen Elizabeth Park, Ishasha.","Africa","UG","","Ishasha","","","Low tree","0.074686","30.100601","","","","","","https://bio.acousti.ca/node/11252"
"11254","Europe: France: Vaucluse, Mont Ventoux, Road from Bedoin. 1350m","Europe","FR","Vaucluse","Mont Ventoux","","","Stony hillside with conifers and grassy areas","44.171185","5.284424","","","","1350","1350","https://bio.acousti.ca/node/11254"
"11256","Hotel Les Oliviers, St MArtin du VAr, Alpes Maritimes.","","","","","","","","","","","","","","","https://bio.acousti.ca/node/11256"
"11257","Europe: France: Vaucluse, Monet Ventoux.","Europe","FR","Vaucluse","Mont Ventoux","","","","44.17439","5.278952","","","","","","https://bio.acousti.ca/node/11257"
"11620","Africa: South Africa: KwaZulu-Natal: Southbroom","Africa","ZA","","KwaZulu-Natal","","","Southbroom","-30.918","30.313","","","","","","https://bio.acousti.ca/node/11620"
"11621","Africa: South Africa: Limpopo: Ingwe Lodge, Makhado","Africa","ZA","","Limpopo","","","Ingwe Lodge, Makhado","-22.964","29.935","","","","","","https://bio.acousti.ca/node/11621"
