"id","word","kind","language","sex","lifeStage","locality","remarks","info_url"
"58086","howl","onomatopoeia verb","en","","","","","https://bio.acousti.ca/node/58086"
"58087","bark","onomatopoeia verb","en","","","","","https://bio.acousti.ca/node/58087"
"58088","yelp","onomatopoeia verb","en","","juvenile","","","https://bio.acousti.ca/node/58088"
"58089","meow","onomatopoeia verb","en","","","","","https://bio.acousti.ca/node/58089"
"58090","purr","onomatopoeia verb","en","","","","","https://bio.acousti.ca/node/58090"
"58091","moo","onomatopoeia verb","en","","","","","https://bio.acousti.ca/node/58091"
"58092","roar","onomatopoeia verb","en","","","","","https://bio.acousti.ca/node/58092"
"58093","bleat","onomatopoeia verb","en","","","","","https://bio.acousti.ca/node/58093"
"58094","snarl","onomatopoeia verb","en","","","","","https://bio.acousti.ca/node/58094"
"58095","squeak","onomatopoeia verb","en","","","","","https://bio.acousti.ca/node/58095"
"58096","bray","onomatopoeia verb","en","","","","","https://bio.acousti.ca/node/58096"
"58097","grunt","onomatopoeia verb","en","","","","","https://bio.acousti.ca/node/58097"
"58098","squeal","onomatopoeia verb","en","","","","","https://bio.acousti.ca/node/58098"
"58099","whinnie","onomatopoeia verb","en","","","","","https://bio.acousti.ca/node/58099"
"58100","neigh","onomatopoeia verb","en","","","","","https://bio.acousti.ca/node/58100"
"58101","bow-wow","imitation","en-GB","","","","","https://bio.acousti.ca/node/58101"
"58102","arf-arf","imitation","en-US","","","","","https://bio.acousti.ca/node/58102"
"58103","gnaf-gnaf","imitation","fr","","","","","https://bio.acousti.ca/node/58103"
"58104","how-how","imitation","ar","","","","","https://bio.acousti.ca/node/58104"
"58105","gaû-gaû","imitation","vi","","","","","https://bio.acousti.ca/node/58105"
"58106","won-won","imitation","ja","","","","","https://bio.acousti.ca/node/58106"
"58107","kwee-kwee","imitation","","","","Lokele tribe of the Congo","","https://bio.acousti.ca/node/58107"
"58108","purr-purr","imitation","en","","","","","https://bio.acousti.ca/node/58108"
"58109","ron-ron","imitation","fr","","","","","https://bio.acousti.ca/node/58109"
"58110","schnurr-schnurr","imitation","de","","","","","https://bio.acousti.ca/node/58110"
"58111","baa-baa","imitation","en","","","","","https://bio.acousti.ca/node/58111"
"58112","méé-méé","imitation","el","","","","","https://bio.acousti.ca/node/58112"
"58113","méé-méé","imitation","ja","","","","","https://bio.acousti.ca/node/58113"
"58114","méé-méé","imitation","ms","","","","","https://bio.acousti.ca/node/58114"
"58115","maa'-maa'","imitation","ar","","","","","https://bio.acousti.ca/node/58115"
"58116","buzz","imitation","en","","","","","https://bio.acousti.ca/node/58116"
"58117","zŭz-zŭz","imitation","ar","","","","","https://bio.acousti.ca/node/58117"
"58118","bun-bun","imitation","ja","","","","","https://bio.acousti.ca/node/58118"
"58119","vū-vū","imitation","vi","","","","","https://bio.acousti.ca/node/58119"
"58120","cock-a-doodle-do","imitation","en","male","","","","https://bio.acousti.ca/node/58120"
"58121","cock-a-diddle-dow","imitation","en","male","","","Shakespeare","https://bio.acousti.ca/node/58121"
"58122","kikeriki","imitation","de","male","","","","https://bio.acousti.ca/node/58122"
"58123","kokke-kokkō","imitation","ja","male","","","","https://bio.acousti.ca/node/58123"
"58124","kiokio","imitation","","male","","Lokele tribe of the Congo","","https://bio.acousti.ca/node/58124"
"58125","Deak...waree-ree-ree Tchee...tchee...tur-wee-wee","imitation","en","","","","","https://bio.acousti.ca/node/58125"
"58126","wah-wah-wah-chow-chow-chow-chow-tu-we-we","imitation","en","","","","","https://bio.acousti.ca/node/58126"
"58127","jibb...chip-chip-chip-gee-gee-gee-gee","imitation","en","","","","","https://bio.acousti.ca/node/58127"
"58128","ze-too, se-too, p'twee-ée, tsoo-ée, ching-see, ching-see, deeder-deeder-deeder, biple-be-wit-se-diddle","imitation","en","","","","","https://bio.acousti.ca/node/58128"
"58129","Tchéetle, tchéetle, tchéetle diddle-diddle-dée; tzit-tzit-tzit, trui, trui, trui","imitation","en","","","","","https://bio.acousti.ca/node/58129"
"58130","tre-wir-ri-o-ee; tre-wir-ri-o-ee; tre-we-o-wee-o-ww-o-wit","imitation","en","","","","","https://bio.acousti.ca/node/58130"
"58131","crex-crex, krek-krek, rerp-rerp","imitation","en","","","","","https://bio.acousti.ca/node/58131"
"58132","tik-tik-tik-tuk-tik-tuk-tik-tuk-chip-it; chick-chuck; yuk-yuk","imitation","en","","","","","https://bio.acousti.ca/node/58132"
"58133","E♮-F♮-F#","musical notation","","","","","","https://bio.acousti.ca/node/58133"
"58397","Get-ti-beeeeer-chk-get-ti-beeeeer-chk","imitation","en","","","","","https://bio.acousti.ca/node/58397"
"58398","Get the beer check","mnemonic","en","","","","","https://bio.acousti.ca/node/58398"
"58399","tips...tisp...tisp...","imitation","en","","","","","https://bio.acousti.ca/node/58399"
"58400","chit-chit-chit","imitation","en","","","","","https://bio.acousti.ca/node/58400"
"58476","wuff wuff","imitation","en","","","","Sound of wings","https://bio.acousti.ca/node/58476"
"58477","Cuckolds in a row","imitation","en","","","","","https://bio.acousti.ca/node/58477"
"58478","Tu whit too whoo","imitation","en","","","","","https://bio.acousti.ca/node/58478"
"58479","Keebits","imitation","en","","","","","https://bio.acousti.ca/node/58479"
"58480","mee-yu","imitation","en","","","","","https://bio.acousti.ca/node/58480"
"58481","beck","imitation","en","","","","","https://bio.acousti.ca/node/58481"
