"id","Title","taxon","file","author","post_date","size","size_raw","type","NonSpecimen","Date","Time","Duration","deployment","lat","lon","time_of_day","license","info_url","device","rights_holder","country","locality","sample_rate","channels"
"8961","372:1 Conocephalus Redenbacher(300)","Conocephalus Conocephalus redtenbacheri","https://bio.acousti.ca/sites/default/files/372-1_Conocephalus_Redenbacher_300_.wav","","2013-08-22 13:45","70.04 MB","73443596","audio/x-wav","","1979-07-09","1745","416","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8961","Kudelski Nagra IV D (-17dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","","","44100","stereo"
"8962","372:2 Chorthippus brunneus(305)","Chorthippus Glyptobothrus brunneus","https://bio.acousti.ca/sites/default/files/372-2_Chorthippus_brunneus_305_.wav","W. J. Reynolds","2013-08-22 13:45","83.69 MB","87755516","audio/x-wav","","1979-07-23","1545","497","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8962","Kudelski Nagra IV D (-17dB at 50Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8963","372:3 Conocephalus semivittatus vittatus(298)","Conocephalus semivittatus vittatus","https://bio.acousti.ca/sites/default/files/372-3_Conocephalus_semivittatus_vittatus_298_.wav","W. J. Reynolds; L. M. Pitkin","2013-08-22 13:45","49.7 MB","52118012","audio/x-wav","","1979-07-09","1600","295","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8963","Kudelski Nagra IV D (-17dB at 50Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8964","372:4 Conocephalus semivittatus vittatus(298b)","Conocephalus semivittatus vittatus","https://bio.acousti.ca/sites/default/files/372-4_Conocephalus_semivittatus_vittatus_298b_.wav","W. J. Reynolds; L. M. Pitkin","2013-08-22 13:45","61.14 MB","64108508","audio/x-wav","","1979-07-09","1600","363","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8964","Kudelski Nagra IV D (-17dB at 50Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8965","372:5 Conocephalus semivittatus vittatus(303)","Conocephalus semivittatus vittatus","https://bio.acousti.ca/sites/default/files/372-5_Conocephalus_semivittatus_vittatus_303_.wav","W. J. Reynolds; L. M. Pitkin","2013-08-22 13:45","58.73 MB","61577756","audio/x-wav","","1979-07-11","1630","349","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8965","Kudelski Nagra IV D (-17dB at 50Hz); Sennheiser MKH 815","Natural History Museum, London","GB","","44100","stereo"
"8966","372:6 Conocephalus semivittatus vittatus(303b)","Conocephalus semivittatus vittatus","https://bio.acousti.ca/sites/default/files/372-6_Conocephalus_semivittatus_vittatus_303b_.wav.wav","W. J. Reynolds; L. M. Pitkin","2013-08-22 13:45","10.21 MB","10701644","audio/x-wav","","1979-07-11","1630","60","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8966","Kudelski Nagra IV D (-17dB at 50Hz); Sennheiser MKH 815","Natural History Museum, London","GB","","44100","stereo"
"8967","372:7 Conocephalus semivittatus vittatus(299)","Conocephalus semivittatus vittatus","https://bio.acousti.ca/sites/default/files/372-7_Conocephalus_semivittatus_vittatus_299_.wav.wav","W. J. Reynolds; L. M. Pitkin","2013-08-22 13:45","79.17 MB","83011532","audio/x-wav","","1979-07-09","1630 - 1700","470","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8967","Kudelski Nagra IV D (-17dB at 50Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8968","372:8 Conocephalus Redenbacher(301)","Conocephalus Conocephalus redtenbacheri","https://bio.acousti.ca/sites/default/files/372-8_Conocephalus_Redenbacher_301_.wav","","2013-08-22 13:45","61.5 MB","64489532","audio/x-wav","","1979-07-10","1730","365","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8968","Kudelski Nagra IV D (-17dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","","","44100","stereo"
"8969","372:9 Chorthippus vagans(304)","Chorthippus Glyptobothrus vagans","https://bio.acousti.ca/sites/default/files/372-9_Chorthippus_vagans_304_.wav","W. J. Reynolds","2013-08-22 13:45","80.39 MB","84293372","audio/x-wav","","1979-07-23","1615","477","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8969","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8970","372:10 Conocephalus semivittatus vittatus(302)","Conocephalus semivittatus vittatus","https://bio.acousti.ca/sites/default/files/372-10_Conocephalus_semivittatus_vittatus_302_.wav","W. J. Reynolds; L. M. Pitkin","2013-08-22 13:45","59.23 MB","62111660","audio/x-wav","","1979-07-11","1600","352","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8970","Kudelski Nagra IV D (-17dB at 50Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
