"id","type","title","author","editor","year","month","journal","booktitle","series","howpublished","volume","number","pages","chapter","edition","publisher","organization","institution","school","address","type_of_work","note","isbn","issn","doi","url","attachments","keywords","abstract","type_name","journal_abbreviation","pmid","info_url"
"9153","article","Proposal for a new term ‘echeme’ to replace ‘chirp’ in animal acoustics","W.B. Broughton","","1976","","Physiological Entomology","","","","1","2","103 - 106","","","","","","","","","","","0307-6962","10.1111/j.1365-3032.1976.tb00896.x","","https://bio.acousti.ca/sites/default/files/j.1365-3032.1976.tb00896.x.pdf","","<div class=""para"">
	<p>The term &lsquo;chirp&rsquo; as defined by Broughton (1952) and varied by him (1963a, b) is shown to be both inadequate and potentially misleading, particularly in the light of the principles of measurement of the time-parameters of insect song, which are reviewed. It is important to include, in the measured duration of a given element, not only the durations of its constituent sub-elements plus the intervals between them, but also an estimate of the interval that would have followed the last sub-element, had the emission been prolonged further.</p>
</div>
<div class=""para"">
	<p>&lsquo;Chirp&rsquo; should be totally restricted to initial, empirical descriptions of sounds that appear undivided to the human ear (or ultrasonics of corresponding length). For a first-order assemblage of syllables, the term &lsquo;echeme&rsquo; with a highly relevant etymology, is proposed.</p>
</div>
<div class=""para"">
	<p>In early insect-acoustics studies, Broughton (e.g. 1963a), seeking mainly to follow the admirable German terminology of Faber (e.g. 1953) and Jacobs (e.g. 1953), and to combine it with accepted physical terms, proposed certain English equivalents, many of which (such as &lsquo;pulse&rsquo;, &lsquo;syllable&rsquo;, &lsquo;sequence&rsquo;) have proved adequate in the years since then.</p>
</div>
<div class=""para"">
	<p>The term &lsquo;chirp&rsquo;, however, had been rather loosely and inappropriately used in still earlier studies (Broughton, 1952, 1953; Chavasse <em>et al.</em>, 1954) as the equivalent of Jacobs&#39; <em>Silbe</em> (syllable = sound or ultrasound corresponding to one stroke of the singing apparatus). This was in direct conflict with the dictionary usage of &lsquo;chirp&rsquo; as a sound that appears unitary and undivided to the unaided human ear (M. Duijm, personal communication in 1962).</p>
</div>
<div class=""para"">
	<p>This is why, in the 1963 revision, Broughton abandoned the use of chirp as equivalent of <em>Silbe</em>, in favour of the direct translation, syllable; and proposed restricting &lsquo;chirp&rsquo; to usage as a term for the first-stage description of a unitary-sounding element of an animal emission, regardless of its composition in terms of physical units (pulses) or physiological units (syllables). Thus, the song of <em>Chorthippus brunneus</em> (Thunberg)(Orth., Acrididae) sounds unitary to the human ear, but consists of a rapid series of sounds each corresponding to one stroke of the apparatus: it is therefore, according to the 1963 system, a &lsquo;polysyllabic chirp&rsquo; (Fig. 1)-a chirp that happens to be a first-order assemblage of syllables. By contrast, the song of <em>Chorthippus parallelus</em> (Zetterstedt) is a clear series of unitary sounds each visibly produced by one movement, and is therefore a &lsquo;sequence&rsquo; of &lsquo;monosyllabic chirps&rsquo; (Fig. 2).</p>
</div>
<p>&nbsp;</p>
","Journal Article","Physiol Entomol","","https://bio.acousti.ca/node/9153"
"11151","article","The songs of the western European bush-crickets of the genus Platycleis in relation to their taxonomy (Orthoptera: Tettigoniidae)","D. R. Ragge","","1990","","Bulletin of the British Museum (Natural History) Entomology","","","","59","1","1-35","","","","","","","","",""," 565 06039 2","0524 - 6431","","","https://bio.acousti.ca/sites/default/files/Ragge1990.pdf","","<p>The calling songs of 1 1 species of the decticine genus Platycleis s.l. (including Sepiana, Tessellana and Montana) are described and fully illustrated with oscillograms at three or four different speeds. For each species a list is provided of references to any past work published on the songs, classified according to the kind of information given. Notes on recognition, using both morphology and song, are given for each species, and two identification keys are provided, one based on morphology and the other on song. The value of the song as a taxonomic character is discussed.</p>
","Journal Article","","","https://bio.acousti.ca/node/11151"
"11152","article","The songs and taxonomy of the grasshoppers of the Chorthippus biguttulus group in the Iberian Peninsula (Orthoptera: Acrididae)","D. R. Ragge; W. J. Reynolds","","1988","","Journal of Natural History","","","","22","","897-929","","","","","","","","","","","","10.1080/00222938800770611","","","acoustics; Acrididae; Chorthippus; grasshoppers; Iberia; North Africa; Orthoptera; song; taxonomy","<p>The <em>Chorthippus biguttulus</em> group includes a number of common European species that are difficult to distinguish morphologically but are easily recognized in the field by the distinctive calling songs of the males. These song-patterns have not previously been studied in Spain and as a result the Iberian members of the group have been misidentified in almost all the extensive Spanish literature on the ecology and cytogenetics of these insects. In this study the male calling songs of all six members of the group known from the Iberian Peninsula and North Africa are fully described and illustrated with oscillograms at several different speeds. The songs of the three species known only from Iberia or North Africa, jacobsi, yersini and marocanus, are fully described for the first time (marocanus is here raised in rank from subspecies). Notes on recognition, using both morphology and song, are given for each species, and two identification keys are provided, one based on morphology and the other on song. It is shown that the three species biguttulus, brunneus and mollis, previously believed to be widespread in Iberia, are absent from most of the peninsula.</p>
","Journal Article","","","https://bio.acousti.ca/node/11152"
"11153","article","A putative hybrid in nature between Chorthippus brunneus and C. biguttulus (Orthoptera : Acrididae)","D. R. Ragge","","1976","","Systematic Entomology","","","","1","1","71-74","","","","","","","","","","","","10.1111/j.1365-3113.1976.tb00033.x","","","","<p>The characteristics of the song and morphology of a probable natural hybrid between the two grass- hoppers Chorthippus brunneus (Thunberg) and C. bigurruius (L.) are described and compared with those of the parent species. The status of C. eisentrauti (Ramme) is briefly discussed.</p>
","Journal Article","","","https://bio.acousti.ca/node/11153"
"11154","misc","Acoustic Laboratory","D. R. Ragge","","1980","","","","","","","","","","","British Museum (Natural History)","","","","London, UK","","","","","","","https://bio.acousti.ca/sites/default/files/20140710170131.pdf","","","Manuscript","","","https://bio.acousti.ca/node/11154"
"11166","techreport","Insect Sounds in Taxonomy","BMNH","","1974","","","","British Museum (Natural History) Reports","","","","49-50","","","","","British Museum (Natural History)","","London, UK","","","","","","","https://bio.acousti.ca/sites/default/files/BMNH_Annual_Report_1972-1974.pdf","","","Report","","","https://bio.acousti.ca/node/11166"
"11172","article","Wing stridulation in a Jurassic katydid (Insecta, Orthoptera) produced low-pitched musical calls to attract females","Gu, J.-J.; Fernando Montealegre-Zapata; Daniel Robert; Engel, M. S.; Qiao, G.-X.; Ren, D.","","2012","","Proceedings of the National Academy of Sciences","","","","109","10","3868 - 3873","","","","","","","","","","","0027-8424","10.1073/pnas.1118372109","http://www.pnas.org/cgi/doi/10.1073/pnas.1118372109","","biological asymmetry; biomechanics; bushcricket; call evolution; Tettigoniidae","<p>Behaviors are challenging to reconstruct for extinct species, particularly the nature and origins of acoustic communication. Here we unravel the song of Archaboilus musicus Gu, Engel and Ren sp. nov., a 165 million year old stridulating katydid. From the exceptionally preserved morphology of its stridulatory apparatus in the forewings and phylogenetic comparison with extant species, we reveal that A. musicus radiated pure-tone (musical) songs using a resonant mechanism tuned at a frequency of 6.4 kHz. Contrary to previous scenarios, musical songs were an early innovation, preceding the broad-bandwidth songs of extant katydids. Providing an accurate insight into paleoacoustic ecology, the low-frequency musical song of A. musicus was well-adapted to communication in the lightly cluttered environment of the mid-Jurassic forest produced by coniferous trees and giant ferns, suggesting that reptilian, amphibian, and mammalian insectivores could have also heard A. musicus&#39; song.</p>
","Journal Article","Proceedings of the National Academy of Sciences","","https://bio.acousti.ca/node/11172"
"11173","article","Panoploscelis specularis (Orthoptera: Tettigoniidae: Pseudophyllinae): extraordinary female sound generator, male description, male protest and calling signals","Fernando Montealegre-Zapata; Guerra, Patrick A.; Glenn K. Morris","","2003","","Journal of Orthoptera Research","","","","12","2","173 - 181","","","","","","","","","","","1082-6467","10.1665/1082-6467(2003)012[0173:PSOTPE]2.0.CO;2","http://www.bioone.org/doi/abs/10.1665/1082-6467%282003%29012%5B0173%3APSOTPE%5D2.0.CO%3B2","","acoustics; Colombia; defense; Ecuador; katydid; stridulation","<p>Females of Panoploscelis specularis present a dramatic modification of their forewings for stridulation. The female generator is illustrated and its distinct form contrasted with that of males. The physical form of the signals that females might produce is inferred; male calling and protest signals are characterized. The male of P. specularis is described for the first time.</p>
","Journal Article","Journal of Orthoptera Research","","https://bio.acousti.ca/node/11173"
"11174","article","Sound generation in Mantis religiosa (Mantodea: Mantidae): stridulatory structures and acoustic signal","Hill, Stephanie A.","","2007","","Journal of Orthoptera Research","","","","16","1","35 - 49","","","","","","","","","","","1082-6467","10.1665/1082-6467(2007)16[35:SGIMRM]2.0.CO;2","http://www.bioone.org/doi/abs/10.1665/1082-6467%282007%2916%5B35%3ASGIMRM%5D2.0.CO%3B2","","acoustics; defense; display; disturbance; mantid; stridulation","<p>Several species of mantids perform defensive displays during close-range encounters with predators. In adult Mantis religiosa, this display entails both visual and acoustic components, the latter being abdominoalary stridulation. Stridulatory modifications of the abdomen and hindwings and acoustic properties of the defensive sounds of M. religiosa are characterized here for the first time. Defensive sounds are generated via an abdominoalary mechanism involving contact between teeth found on the longitudinal veins of the metathoracic wings and pegs located on the abdominal pleura. Defensive stridulation in M. religiosa is highly variable in both spectral and time domains. Inter-individual variability may be stochastically greater than intra-individual variability for at least one acoustic parameter (peak frequency). The loudest portion of a sound emission (syllable), or down-pulse, has an average duration of 195 ms and features an abrupt rise to maximum amplitude. Inter-syllabic intervals are irregular and rate of syllable production depends on a mantid&#39;s sex. The acoustic output of M. religiosa is nonresonant, broadband, and of relatively low intensity. A minor ultrasonic component may be present in the spectra of these mantids (particularly in males). The modal peak frequency range (4 kHz interval) is 8-12 kHz (mean range &sim;7.4-9.4 kHz). Acoustic parameters which appear to vary between the sexes and/or among females at different reproductive stages, may be related to the sexual size dimorphism of this species and morphological constraints associated with egg-bearing. The acoustic output of M. religiosa is considered with reference to its intended receivers and plausible mechanisms of predator deterrence.</p>
","Journal Article","Journal of Orthoptera Research","","https://bio.acousti.ca/node/11174"
"11175","article","Ultrasonic reverse stridulation in the spider-like katydid <i>Arachnoscelis</i>               (Orthoptera: Listrosceledinae)","Benedict D. Chivers; Jonsson, Thorin; Cadena-Castaneda, Oscar J.; Fernando Montealegre-Zapata","","2014","","Bioacoustics","","","","23","1","67 - 77","","","","","","","","","","","0952-4622","10.1080/09524622.2013.816639","http://www.tandfonline.com/doi/abs/10.1080/09524622.2013.816639","","biomechanics; Colombia; elastic energy; stridulation; ultrasound","<p>This paper illustrates the biomechanics of sound production in the neotropical predaceous katydid Arachnoscelis arachnoides (Insecta: Orthoptera: Tettigoniidae). Described and previously known from only one male specimen, this genus of predaceous katydids resembles spiders in their general body appearance. To call distant females, male katydids produce songs by stridulation where one forewing possessing a sclerotized file rubs against a row of teeth (scraper) on the other wing. In most katydid species, the songs are produced during the wing-closing phase of the stridulation. Morphological comparative studies of the stridulatory apparatus of the type specimen of Arachnoscelis arachnoides and males of other closely related species suggest that this insect sings with a frequency of ca. 80 kHz to attract conspecific females. We found an abundant population of A. arachnoides in Central Northeast of Colombia and undertook a complete analysis of the biomechanics of stridulation in this species. Using ultrasound-sensitive equipment and high-speed video, we determined that male A. arachnoides sing at ca. 74 kHz and use elastic energy and wing deformation to reach such ultrasonic frequencies. In contrast to most katydids, males of this species produce their calls during the opening phase of the wing; this form of stridulation is discussed.</p>
","Journal Article","Bioacoustics","","https://bio.acousti.ca/node/11175"
