"id","scientificName","basisOfRecord","institutionCode","collectionCode","catalogNumber","otherCatalogNumbers","typeStatus","sex","lifeStage","individualCount","recordedBy","eventDate","identifiedBy","dateIdentified","identificationQualifier","associatedSequences","locality","countryCode","decimalLatitude","decimalLongitude","occurrenceRemarks","info_url"
"11158","Conocephalus discolor","LivingSpecimen","NHMUK","BMNH(E)","15?","","","Male","Adult","1","David R. Ragge; J. F. Burton","1962-08-18T00:00:00","David R. Ragge","","","","","GB","50.6016535929146","-1.95290565490723","<p>On reeds.</p>
","https://bio.acousti.ca/node/11158"
"11159","Conocephalus discolor","LivingSpecimen","NHMUK","BMNH(E)","010210825","","","Male","Adult","1","W. J. Reynolds","1985-08-22T00:00:00","W. J. Reynolds","","","","","ES","42.0365443200271","-6.85529708862305","<p>Lush grass and herbs by ditch</p>
","https://bio.acousti.ca/node/11159"
"11160","Conocephalus discolor","LivingSpecimen","NHMUK","BMNH(E)","18?","","","Male","Adult","1","W. J. Reynolds","1990-07-21T00:00:00","W. J. Reynolds","","","","","FR","42.1281478054561","8.70855331420898","<p>Rushes &amp; lush grass</p>
","https://bio.acousti.ca/node/11160"
"11161","Conocephalus discolor","LivingSpecimen","NHMUK","BMNH(E)","010211026","","","Male","Adult","1","David R. Ragge","1981-08-28T00:00:00","David R. Ragge","","","","","GB","50.6016535929146","-1.95290565490723","<p>Long grass near cliff edge</p>
","https://bio.acousti.ca/node/11161"
"11162","Conocephalus discolor","LivingSpecimen","NHMUK","BMNH(E)","010210824","","","Male","Adult","1","E. C. M. Haes","1981-09-08T00:00:00","David R. Ragge","","","","","FR","47.4759407019598","-3.13273429870605","<p>Marshy hollow in dunes</p>
","https://bio.acousti.ca/node/11162"
"11169","Cyphoderris monstrosa","LivingSpecimen","NHMUK","BMNH(E)","17?","","","Male","Adult","1","G. K. Morris","1975-07-24T00:00:00","","","","","","","51.1999998341207","-115.51025390625","","https://bio.acousti.ca/node/11169"
"11217","Acrometopa macropoda","LivingSpecimen","NHMUK","BMNH(E)","010210782","","","Male","Adult","1","Fer Willemse","2014-06-18T00:00:00","Fer Willemse","2014-06-18T00:00:00","","","Badly cultivated terraces with shrubby margins and some trees","GR","37.291258","22.651126","","https://bio.acousti.ca/node/11217"
"11219","Acrometopa macropoda","LivingSpecimen","NHMUK","BMNH(E)","30?","","","Male","Adult","1","Fer Willemse","1988-08-01T00:00:00","Fer Willemse","1988-08-01T00:00:00","","","Lush meadows with cattle","GR","38.029937","22.070155","","https://bio.acousti.ca/node/11219"
"11221","Anonconotus alpinus","PreservedSpecimen","NHMUK","BMNH(E)","010210915","","","Male","Adult","1","E. C. M. Haes","1979-09-15T00:00:00","L. M. Pitkin","","","","Scanty herbs","","45.107806","6.234801","","https://bio.acousti.ca/node/11221"
"11223","Antaxius Chopardius hispanicus","LivingSpecimen","NHMUK","BMNH(E)","010210918","","","Male","Adult","1","E. C. M. Haes","1982-08-29T00:00:00","W. J. Reynolds","","","","Rough roadside vegetation","ES","42.627489","-0.110414","","https://bio.acousti.ca/node/11223"
