"id","taxon","Unit name 1","Unit name 2","Unit name 3","Unit name 4","Rank","parent_id","parent_taxon"
"33","Sigara","Sigara","","","","Genus","584","Corixidae"
"35","Hemiptera","Hemiptera","","","","Order","590","Insecta"
"56","Orthoptera","Orthoptera","","","","Order","590","Insecta"
"57","Conocephalus","Conocephalus","","","","Genus","1198","Conocephalini"
"58","Conocephalus discolor","Conocephalus","discolor","","","Species","1203","Conocephalus (Anisoptera) fuscus fuscus"
"59","Chorthippus","Chorthippus","","","","Genus","1119","Gomphocerini"
"60","Chorthippus (Glyptobothrus) vagans","Chorthippus","Glyptobothrus","vagans","","Species","1121","Glyptobothrus"
"61","Dociostaurus","Dociostaurus","","","","Genus","1131","Dociostaurini"
"62","Dociostaurus (Kazakia) jagoi","Dociostaurus","Kazakia","jagoi","","Species","61","Dociostaurus"
"63","Dociostaurus (Kazakia) jagoi occidentalis","Dociostaurus","Kazakia","jagoi","occidentalis","Subspecies","62","Dociostaurus (Kazakia) jagoi"
"64","Chorthippus (Glyptobothrus) mollis","Chorthippus","Glyptobothrus","mollis","","Species","1121","Glyptobothrus"
"65","Chorthippus (Glyptobothrus) mollis ignifer","Chorthippus","Glyptobothrus","mollis","ignifer","Subspecies","64","Chorthippus (Glyptobothrus) mollis"
"66","Locusta","Locusta","","","","Genus","1149","Locustini"
"67","Locusta migratoria","Locusta","migratoria","","","Species","66","Locusta"
"68","Locusta migratoria cinerascens","Locusta","migratoria","cinerascens","","Subspecies","437","Locusta migratoria migratoria"
"69","Metrioptera","Metrioptera","","","","Genus","1213","Platycleidini"
"70","Metrioptera bicolor","Metrioptera","bicolor","","","Species","1220","Bicolorana bicolor bicolor"
"71","Decticus","Decticus","","","","Genus","1216","Decticini"
"72","Decticus verrucivorus","Decticus","verrucivorus","","","Species","71","Decticus"
"73","Conocephalus (Anisoptera) semivittatus","Conocephalus","Anisoptera","semivittatus","","Species","57","Conocephalus"
"74","Conocephalus semivittatus vittatus","Conocephalus","semivittatus","vittatus","","Subspecies","73","Conocephalus (Anisoptera) semivittatus"
"75","Chorthippus (Glyptobothrus) jacobsi","Chorthippus","Glyptobothrus","jacobsi","","Species","1121","Glyptobothrus"
"76","Chorthippus (Glyptobothrus) biguttulus","Chorthippus","Glyptobothrus","biguttulus","","Species","1121","Glyptobothrus"
"77","Chorthippus (Glyptobothrus) brunneus","Chorthippus","Glyptobothrus","brunneus","","Species","1121","Glyptobothrus"
"78","Chorthippus (Glyptobothrus) binotatus","Chorthippus","Glyptobothrus","binotatus","","Species","1121","Glyptobothrus"
"79","Chorthippus (Chorthippus) albomarginatus","Chorthippus","Chorthippus","albomarginatus","","Species","59","Chorthippus"
"80","Chorthippus parallelus","Chorthippus","parallelus","","","Species","1126","Pseudochorthippus parallelus"
"81","Chorthippus parallelus parallelus","Chorthippus","parallelus","parallelus","","Subspecies","1127","Pseudochorthippus parallelus parallelus"
"82","Chorthippus parallelus erythropus","Chorthippus","parallelus","erythropus","","Subspecies","1128","Pseudochorthippus parallelus erythropus"
"83","Tettigonia","Tettigonia","","","","Genus","1229","Tettigoniini"
"84","Tettigonia viridissima","Tettigonia","viridissima","","","Species","83","Tettigonia"
"85","Euchorthippus","Euchorthippus","","","","Genus","1130","Chrysochraontini"
"86","Euchorthippus pulvinatus","Euchorthippus","pulvinatus","","","Species","85","Euchorthippus"
"87","Nemobius","Nemobius","","","","Genus","3340","Nemobiini"
"88","Nemobius sylvestris","Nemobius","sylvestris","","","Species","87","Nemobius"
"89","Gomphocerippus","Gomphocerippus","","","","Genus","1119","Gomphocerini"
"90","Gomphocerippus rufus","Gomphocerippus","rufus","","","Species","89","Gomphocerippus"
"91","Acheta","Acheta","","","","Genus","1154","Gryllini"
"92","Acheta domesticus","Acheta","domesticus","","","Species","91","Acheta"
"93","Stenobothrus","Stenobothrus","","","","Genus","1137","Stenobothrini"
"94","Stenobothrus rubicundulus","Stenobothrus","rubicundulus","","","Species","93","Stenobothrus"
"95","Stenobothrus lineatus","Stenobothrus","lineatus","","","Species","93","Stenobothrus"
"96","Meconema","Meconema","","","","Genus","5890","Meconematini"
"97","Meconema thalassinum","Meconema","thalassinum","","","Species","96","Meconema"
"98","Gomphocerus","Gomphocerus","","","","Genus","1119","Gomphocerini"
"99","Gomphocerus sibiricus","Gomphocerus","sibiricus","","","Species","98","Gomphocerus"
"100","Omocestus","Omocestus","","","","Genus","1137","Stenobothrini"
"101","Omocestus (Omocestus) panteli","Omocestus","Omocestus","panteli","","Species","100","Omocestus"
"102","Omocestus (Omocestus) rufipes","Omocestus","Omocestus","rufipes","","Species","100","Omocestus"
"103","Omocestus (Omocestus) viridulus","Omocestus","Omocestus","viridulus","","Species","100","Omocestus"
"104","Euchorthippus chopardi","Euchorthippus","chopardi","","","Species","85","Euchorthippus"
"105","Anonconotus","Anonconotus","","","","Genus","1213","Platycleidini"
"106","Anonconotus alpinus","Anonconotus","alpinus","","","Species","105","Anonconotus"
"107","Tympanophora","Tympanophora","","","","Genus","1232","Tympanophorinae"
"108","Tympanophora similis","Tympanophora","similis","","","Species","107","Tympanophora"
"109","Euchorthippus declivus","Euchorthippus","declivus","","","Species","85","Euchorthippus"
"110","Gampsocleis","Gampsocleis","","","","Genus","1231","Gampsocleidini"
"111","Gampsocleis glabra","Gampsocleis","glabra","","","Species","110","Gampsocleis"
"112","Metrioptera roeselli","Metrioptera","roeselli","","","Species","1226","Roeseliana roeselii"
"113","Metrioptera saussuriana","Metrioptera","saussuriana","","","Species","69","Metrioptera"
"114","Metrioptera saussuriana ""f. buyssoni""","Metrioptera","saussuriana","""f. buyssoni""","","Subspecies","113","Metrioptera saussuriana"
"115","Pholidoptera","Pholidoptera","","","","Genus","1217","Pholidopterini"
