"traitID","taxonID","Taxonomic name","Trait","Ontology Link","Value","Call Type","Sex","Temperature","Reference","Cascade","Annotation ID"
"1611","1865","Acrida","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","None","","","","","1",""
"1616","1866","Acrida bicolor","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Elytro-femoral Stridulation","","","","","0",""
"1618","1867","Acrida cinerea","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","None","","","","","",""
"1619","1868","Acrida conica","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","None","","","","","",""
"1620","1869","Acrida gigantea","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","None","","","","","",""
"1621","1870","Acrida incallida","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","None","","","","","",""
"1622","1871","Acrida kozlovi","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","None","","","","","",""
"1623","1872","Acrida oxycephala","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","None","","","","","",""
"1624","1873","Acrida turrita","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","None","","","","","",""
"1625","1874","Acrida rufipes","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","None","","","","","",""
"1626","1875","Acrida shanghaica","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","None","","","","","",""
"1627","1876","Acrida willemsei","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","None","","","","","",""
"1638","1883","Acrostira euphorbiae","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","None (apterous)","","","","","",""
"1654","414","Phaneroptera Phaneroptera falcata","Time Of Day Of Call","https://vocab.audioblast.org/TimeOfDayOfCall","Day and night","","","","","",""
"1655","414","Phaneroptera Phaneroptera falcata","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Elytral Stridulation (Opening Hemisyllable Only)","","","","","",""
"1657","227","Phaneroptera Phaneroptera nana","Time Of Day Of Call","https://vocab.audioblast.org/TimeOfDayOfCall","Day and night","","","","","",""
"1658","227","Phaneroptera Phaneroptera nana","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Elytral Stridulation (Opening Hemisyllable Only)","","Male","","","",""
"1659","497","Tylopsis lilifolia","Time Of Day Of Call","https://vocab.audioblast.org/TimeOfDayOfCall","Day and night","","","","","",""
"1660","497","Tylopsis lilifolia","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Elytral Stridulation","","","","","",""
"1664","1907","Acrometopa italica","Time Of Day Of Call","https://vocab.audioblast.org/TimeOfDayOfCall","Night","","","","","",""
"1665","1907","Acrometopa italica","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Elytral Stridulation","","","","","",""
"1709","919","Isophya pyrenaea","Time Of Day Of Call","https://vocab.audioblast.org/TimeOfDayOfCall","Day and night","","","","","",""
"1710","919","Isophya pyrenaea","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Elytral Stridulation","","","","","",""
"1711","1908","Isophya rectipennis","","","Night","","","","","",""
"1712","1908","Isophya rectipennis","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Elytral Stridulation","","","","","",""
"1713","719","Barbitistes serricauda","Time Of Day Of Call","https://vocab.audioblast.org/TimeOfDayOfCall","Day and night","","","","","",""
"1714","719","Barbitistes serricauda","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Elytral Stridulation","","","","","",""
"1715","719","Barbitistes serricauda","Sound Propagation Medium","https://vocab.audioblast.org/SoundPropagationMedium","Air","","","","","",""
"2015","919","Isophya pyrenaea","Sound Propagation Medium","https://vocab.audioblast.org/SoundPropagationMedium","Air","","","","","",""
